title,budget,budget_squared,revenue,runtime,vote_average,year,main_genre
Spy Kids: All the Time in the World,27000000,729000000000000,85564310,89.0,4.4,2011,Family
Money Monster,27000000,729000000000000,93282604,98.0,6.5,2016,Thriller
The 51st State,28,784,14,93.0,5.9,2001,Thriller
Mindhunters,27000000,729000000000000,21148829,106.0,6.3,2004,Mystery
What Just Happened,25000000,625000000000000,6673422,104.0,5.2,2008,Comedy
Paul Blart: Mall Cop,26000000,676000000000000,183293131,91.0,5.2,2009,Action
Freaky Friday,26000000,676000000000000,110230332,97.0,6.0,2003,Comedy
The 40 Year Old Virgin,26000000,676000000000000,109449237,116.0,6.2,2005,Comedy
Shakespeare in Love,25000000,625000000000000,289317794,122.0,6.8,1998,Romance
A Walk Among the Tombstones,28000000,784000000000000,53181600,113.0,6.2,2014,Crime
Kindergarten Cop,15000000,225000000000000,201957688,111.0,5.8,1990,Comedy
Pineapple Express,27000000,729000000000000,101624843,111.0,6.6,2008,Action
Ever After: A Cinderella Story,26000000,676000000000000,65705772,121.0,6.8,1998,Drama
Open Range,22000000,484000000000000,68296293,139.0,7.0,2003,Western
Flatliners,26000000,676000000000000,61489265,115.0,6.3,1990,Drama
A Bridge Too Far,22000000,484000000000000,50750000,175.0,6.9,1977,Drama
Red Eye,26000000,676000000000000,57891803,85.0,6.2,2005,Horror
Final Destination 2,26000000,676000000000000,90426405,90.0,5.9,2003,Horror
"O Brother, Where Art Thou?",26000000,676000000000000,71868327,106.0,7.3,2000,Action
Legion,26000000,676000000000000,67918658,100.0,5.2,2010,Horror
Pain & Gain,25000000,625000000000000,86175291,130.0,6.1,2013,Thriller
Clockstoppers,26000000,676000000000000,38793283,94.0,4.9,2002,Adventure
Brothers,26000000,676000000000000,43318349,104.0,6.8,2009,Drama
Agent Cody Banks 2: Destination London,26000000,676000000000000,28818995,100.0,5.2,2004,Comedy
New Year's Eve,56000000,3136000000000000,142044638,118.0,5.7,2011,Comedy
Original Sin,42000000,1764000000000000,35402320,118.0,5.8,2001,Drama
The Raven,26000000,676000000000000,29657751,111.0,6.1,2012,Crime
Welcome to Mooseport,30000000,900000000000000,14000000,110.0,4.8,2004,Comedy
Highlander: The Final Dimension,26000000,676000000000000,36800000,99.0,4.5,1994,Action
Flipper,25530000,651780900000000,20080020,95.0,5.3,1996,Adventure
Self/less,26000000,676000000000000,30523226,116.0,6.3,2015,Science Fiction
The Constant Gardener,25000000,625000000000000,82466670,129.0,6.8,2005,Drama
The Passion of the Christ,30000000,900000000000000,611899420,127.0,6.9,2004,Drama
Mrs. Doubtfire,25000000,625000000000000,441286195,125.0,7.0,1993,Comedy
Rain Man,25000000,625000000000000,412800000,133.0,7.6,1988,Drama
Gran Torino,33000000,1089000000000000,269958228,116.0,7.8,2008,Drama
W.,25100000,630010000000000,29506464,131.0,6.1,2008,Drama
Taken,25000000,625000000000000,226830568,93.0,7.2,2008,Action
The Best of Me,26000000,676000000000000,35926213,117.0,7.2,2014,Drama
The Bodyguard,25000000,625000000000000,411006740,129.0,6.1,1992,Thriller
Schindler's List,22000000,484000000000000,321365567,195.0,8.3,1993,Drama
The Help,25000000,625000000000000,124272124,146.0,7.8,2011,Drama
The Fifth Estate,28000000,784000000000000,8555008,128.0,5.7,2013,Drama
Freddy vs. Jason,30000000,900000000000000,114908830,97.0,5.8,2003,Horror
Jimmy Neutron: Boy Genius,25000000,625000000000000,80936232,83.0,5.6,2001,Action
Cloverfield,25000000,625000000000000,170764026,85.0,6.4,2008,Action
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000,625000000000000,78000000,88.0,5.8,1991,Science Fiction
The Untouchables,25000000,625000000000000,76270454,119.0,7.6,1987,Crime
No Country for Old Men,25000000,625000000000000,171600000,122.0,7.7,2007,Crime
Ride Along,25000000,625000000000000,153997819,99.0,6.1,2014,Action
Bridget Jones's Diary,25000000,625000000000000,281929795,97.0,6.5,2001,Comedy
Chocolat,25000000,625000000000000,152500343,121.0,6.8,2000,Comedy
"Legally Blonde 2: Red, White & Blonde",45000000,2025000000000000,124914842,95.0,5.1,2003,Comedy
Parental Guidance,25000000,625000000000000,119772232,104.0,5.7,2012,Comedy
No Strings Attached,25000000,625000000000000,147780440,107.0,6.1,2011,Comedy
Tombstone,25000000,625000000000000,56505065,130.0,7.4,1993,Action
Romeo Must Die,25000000,625000000000000,91036760,115.0,6.0,2000,Action
The Omen,2800000,7840000000000,60922980,111.0,7.2,1976,Horror
Final Destination 3,25000000,625000000000000,117719158,93.0,5.8,2006,Horror
The Lucky One,25000000,625000000000000,99357138,101.0,6.8,2012,Drama
Bridge to Terabithia,60000000,3600000000000000,137587063,96.0,7.0,2007,Adventure
Finding Neverland,25000000,625000000000000,116766556,106.0,7.2,2004,Drama
The Grey,25000000,625000000000000,77278331,117.0,6.4,2012,Action
Hide and Seek,25000000,625000000000000,122644820,101.0,6.1,2005,Horror
Anchorman: The Legend of Ron Burgundy,26000000,676000000000000,90574188,94.0,6.7,2004,Comedy
GoodFellas,25000000,625000000000000,46836394,145.0,8.2,1990,Drama
Agent Cody Banks,28000000,784000000000000,58795814,102.0,5.0,2003,Action
Nanny McPhee,25000000,625000000000000,122489822,97.0,6.4,2005,Fantasy
Scarface,25000000,625000000000000,65884703,170.0,8.0,1983,Action
The Last Emperor,23000000,529000000000000,43984230,163.0,7.4,1987,Drama
Contraband,25000000,625000000000000,63100000,109.0,6.1,2012,Thriller
There Will Be Blood,25000000,625000000000000,77208711,158.0,7.9,2007,Drama
Undercover Brother,25000000,625000000000000,41604473,86.0,5.5,2002,Action
The Sisterhood of the Traveling Pants,25000000,625000000000000,39053061,119.0,6.3,2005,Drama
Kiss of the Dragon,25000000,625000000000000,64437847,98.0,6.4,2001,Action
The House Bunny,25000000,625000000000000,70442940,97.0,5.6,2008,Romance
Beauty Shop,25000000,625000000000000,36351350,105.0,5.4,2005,Comedy
Million Dollar Arm,25000000,625000000000000,38307627,124.0,6.6,2014,Drama
The Giver,25000000,625000000000000,66980456,94.0,6.4,2014,Drama
Jeepers Creepers 2,17000000,289000000000000,63102666,104.0,5.5,2003,Horror
Good Luck Chuck,25000000,625000000000000,59192128,101.0,5.5,2007,Comedy
Cradle 2 the Grave,25000000,625000000000000,56489558,101.0,5.8,2003,Action
The Hours,25000000,625000000000000,41597830,114.0,7.0,2002,Drama
She's the Man,20000000,400000000000000,33889159,105.0,6.4,2006,Comedy
Mr. Bean's Holiday,25000000,625000000000000,229736344,90.0,6.1,2007,Family
Anacondas: The Hunt for the Blood Orchid,20000000,400000000000000,70992898,97.0,4.9,2004,Adventure
Blood Ties,25500000,650250000000000,2415472,128.0,6.0,2013,Thriller
August Rush,25000000,625000000000000,66122026,114.0,7.1,2007,Drama
Elizabeth,30000000,900000000000000,82150642,124.0,7.1,1998,Drama
Bride of Chucky,25000000,625000000000000,50671850,89.0,5.5,1998,Horror
Tora! Tora! Tora!,25485000,649485225000000,29548291,144.0,6.9,1970,History
Spice World,25000000,625000000000000,100000000,93.0,4.7,1997,Adventure
The Sitter,25000000,625000000000000,34942188,81.0,5.4,2011,Comedy
The Shawshank Redemption,25000000,625000000000000,28341469,142.0,8.5,1994,Drama
Crocodile Dundee in Los Angeles,21150000,447322500000000,39438674,92.0,4.7,2001,Adventure
Kingpin,27000000,729000000000000,25023434,113.0,6.7,1996,Comedy
The Gambler,25000000,625000000000000,39171130,111.0,5.7,2014,Thriller
August: Osage County,25000000,625000000000000,74188937,121.0,6.9,2013,Comedy
Ice Princess,25000000,625000000000000,27645491,98.0,5.9,2005,Drama
A Lot Like Love,30000000,900000000000000,42886719,107.0,6.5,2005,Comedy
Eddie the Eagle,23000000,529000000000000,46152800,106.0,7.2,2016,Comedy
He Got Game,25000000,625000000000000,21567853,136.0,6.7,1998,Drama
Don Juan DeMarco,25000000,625000000000000,22200000,97.0,6.2,1994,Romance
Dear John,25000000,625000000000000,114977104,115.0,6.6,2010,Drama
The Losers,25000000,625000000000000,23580000,97.0,6.2,2010,Action
Don't Be Afraid of the Dark,25000000,625000000000000,36993168,99.0,5.4,2010,Fantasy
War,25000000,625000000000000,40452643,103.0,6.0,2007,Action
Punch-Drunk Love,25000000,625000000000000,17000000,95.0,6.9,2002,Comedy
EuroTrip,25000000,625000000000000,20796847,93.0,6.5,2004,Comedy
The Greatest Game Ever Played,25000000,625000000000000,15431177,120.0,6.9,2005,Drama
The Box,30000000,900000000000000,33333531,115.0,5.4,2009,Thriller
The Next Best Thing,25000000,625000000000000,24362772,108.0,4.3,2000,Comedy
My Soul to Take,25000000,625000000000000,19829957,107.0,5.2,2010,Drama
The Girl Next Door,25000000,625000000000000,30411183,108.0,6.3,2004,Comedy
Maximum Risk,25000000,625000000000000,51702483,100.0,5.2,1996,Action
Legend,25000000,625000000000000,42972994,131.0,6.7,2015,Crime
Shark Night,28000000,784000000000000,10126458,91.0,4.9,2011,Horror
Angela's Ashes,25,625,13,145.0,7.0,1999,Drama
Draft Day,25000000,625000000000000,28831145,109.0,6.5,2014,Drama
The Conspirator,25000000,625000000000000,15478800,122.0,6.2,2010,Crime
Lords of Dogtown,25000000,625000000000000,13411957,107.0,7.0,2005,Drama
The 33,25000000,625000000000000,24902723,120.0,6.0,2015,Drama
Big Trouble in Little China,25000000,625000000000000,11000000,99.0,7.1,1986,Action
Warrior,25000000,625000000000000,23057115,140.0,7.7,2011,Action
Michael Collins,28000000,784000000000000,16900000,132.0,6.7,1996,Drama
Stop-Loss,25000000,625000000000000,11207130,113.0,6.1,2008,Drama
Abandon,25000000,625000000000000,10719357,99.0,4.6,2002,Drama
Brokedown Palace,25000000,625000000000000,13000000,100.0,6.2,1999,Drama
The Possession,14000000,196000000000000,85446075,92.0,5.8,2012,Horror
Mrs. Winterbourne,25000000,625000000000000,10070000,105.0,5.3,1996,Comedy
Straw Dogs,25000000,625000000000000,10324441,110.0,5.5,2011,Drama
The Hoax,25000000,625000000000000,11772461,116.0,6.4,2006,Comedy
The Road,32000000,1024000000000000,27635305,111.0,6.8,2009,Adventure
Sheena,25000000,625000000000000,5778353,117.0,5.0,1984,Action
Tank Girl,25000000,625000000000000,4064495,98.0,5.5,1995,Action
Blindness,25000000,625000000000000,19844979,121.0,6.4,2008,Drama
BloodRayne,25000000,625000000000000,2405420,95.0,3.5,2005,Action
Carnage,25000000,625000000000000,27603069,80.0,7.0,2011,Comedy
Without Limits,25000000,625000000000000,777423,117.0,6.2,1998,Drama
Me and Orson Welles,25000000,625000000000000,2336172,114.0,6.6,2009,Comedy
The Best Offer,13500000,182250000000000,19255873,124.0,7.7,2013,Drama
The Bad Lieutenant: Port of Call - New Orleans,25000000,625000000000000,10589102,122.0,6.0,2009,Drama
Little White Lies,25000000,625000000000000,48531470,154.0,7.1,2010,Comedy
Space Dogs,25000000,625000000000000,6500000,85.0,6.3,2010,Family
The Counselor,25000000,625000000000000,71009334,117.0,5.0,2013,Thriller
Waterloo,25000000,625000000000000,3052000,128.0,7.0,1970,History
Dangerous Liaisons,14000000,196000000000000,34670720,119.0,7.0,1988,Drama
On the Road,25000000,625000000000000,8784318,137.0,5.5,2012,Adventure
Star Trek IV: The Voyage Home,24000000,576000000000000,133000000,119.0,6.9,1986,Science Fiction
Rocky Balboa,24000000,576000000000000,155721132,102.0,6.5,2006,Drama
Scream 2,24000000,576000000000000,172363301,120.0,6.1,1997,Horror
Jane Got a Gun,25000000,625000000000000,1397284,98.0,5.4,2016,Action
Think Like a Man Too,24000000,576000000000000,70181428,105.0,6.4,2014,Comedy
The Whole Nine Yards,41300000,1705690000000000,106371651,98.0,6.2,2000,Comedy
Footloose,8200000,67240000000000,80035402,107.0,6.4,1984,Drama
Old School,24000000,576000000000000,87055349,91.0,6.6,2003,Comedy
The Fisher King,24000000,576000000000000,41895491,137.0,7.2,1991,Comedy
I Still Know What You Did Last Summer,65000000,4225000000000000,40002112,100.0,5.1,1998,Horror
Return to Me,24000000,576000000000000,36609995,115.0,6.1,2000,Romance
Zack and Miri Make a Porno,24000000,576000000000000,42105111,102.0,6.1,2008,Comedy
The Men Who Stare at Goats,24000000,576000000000000,68729358,93.0,5.9,2009,Comedy
Win a Date with Tad Hamilton!,17000000,289000000000000,16980098,95.0,5.5,2004,Comedy
Muppets from Space,24000000,576000000000000,16290976,87.0,5.8,1999,Fantasy
The Wiz,24000000,576000000000000,21049053,134.0,5.9,1978,Adventure
Ready to Rumble,24000000,576000000000000,12372410,107.0,4.7,2000,Action
Play It to the Bone,24000000,576000000000000,8434146,124.0,5.7,1999,Comedy
I Don't Know How She Does It,24000000,576000000000000,30551495,89.0,5.0,2011,Romance
Piranha 3D,24000000,576000000000000,83188165,88.0,5.3,2010,Comedy
Meet the Deedles,24000000,576000000000000,4562146,93.0,4.1,1998,Animation
The Thief and the Cobbler,28000000,784000000000000,669276,72.0,6.8,1993,Adventure
Faster,24000000,576000000000000,23081726,98.0,6.1,2010,Crime
Howl's Moving Castle,24000000,576000000000000,234710455,119.0,8.2,2004,Fantasy
Zombieland,23600000,556960000000000,102391382,88.0,7.2,2009,Comedy
The Waterboy,23000000,529000000000000,185991646,90.0,5.9,1998,Comedy
The Empire Strikes Back,18000000,324000000000000,538400000,124.0,8.2,1980,Adventure
Bad Boys,19000000,361000000000000,141407024,118.0,6.5,1995,Action
The Naked Gun 2½: The Smell of Fear,23000000,529000000000000,86930411,85.0,6.6,1991,Comedy
Final Destination,23000000,529000000000000,53302314,98.0,6.4,2000,Horror
The Ides of March,12500000,156250000000000,75993061,101.0,6.5,2011,Drama
Pitch Black,23000000,529000000000000,53187659,108.0,6.7,2000,Thriller
Her,23000000,529000000000000,47351251,126.0,7.9,2013,Romance
Joy Ride,23000000,529000000000000,36642838,97.0,6.3,2001,Mystery
The Adventurer: The Curse of the Midas Box,25000000,625000000000000,6399,99.0,5.1,2013,Fantasy
Anywhere But Here,23000000,529000000000000,18653615,114.0,5.9,1999,Drama
Haywire,23000000,529000000000000,33372606,93.0,5.6,2011,Action
Jaws: The Revenge,23000000,529000000000000,51881013,89.0,3.5,1987,Adventure
The End of the Affair,23000000,529000000000000,10827816,102.0,6.6,1999,Drama
Harley Davidson and the Marlboro Man,23000000,529000000000000,7434726,98.0,6.1,1991,Action
In the Valley of Elah,23000000,529000000000000,29541790,124.0,6.6,2007,History
Cheri,23000000,529000000000000,9366227,86.0,5.9,2009,Drama
Vanity Fair,23000000,529000000000000,16123851,141.0,5.5,2004,Drama
Bodyguards and Assassins,23000000,529000000000000,5837674,139.0,6.5,2009,Drama
1408,25000000,625000000000000,94679598,104.0,6.5,2007,Horror
Spaceballs,22700000,515290000000000,38119483,96.0,6.7,1987,Comedy
The Water Diviner,22500000,506250000000000,15520023,112.0,6.8,2014,War
Ghost,22000000,484000000000000,505000000,127.0,6.9,1990,Fantasy
There's Something About Mary,23000000,529000000000000,369884651,119.0,6.5,1998,Romance
The Santa Clause,22000000,484000000000000,189833357,97.0,6.3,1994,Fantasy
The Rookie,20000000,400000000000000,75597042,127.0,6.5,2002,Drama
The Game Plan,22000000,484000000000000,147880543,110.0,6.0,2007,Comedy
The Bridges of Madison County,24000000,576000000000000,182016617,135.0,7.3,1995,Drama
The Animal,22000000,484000000000000,84772742,84.0,4.6,2001,Action
Gandhi,22000000,484000000000000,77737889,191.0,7.4,1982,Drama
The Hundred-Foot Journey,22000000,484000000000000,88880821,122.0,7.3,2014,Drama
The Net,22000000,484000000000000,110627965,114.0,5.6,1995,Crime
I Am Sam,22000000,484000000000000,92542418,132.0,7.2,2001,Drama
Son of God,22000000,484000000000000,67800064,138.0,5.9,2014,Drama
Underworld,22000000,484000000000000,95708457,121.0,6.6,2003,Fantasy
Derailed,22000000,484000000000000,57479076,108.0,6.1,2005,Drama
The Informant!,22000000,484000000000000,35424826,108.0,6.0,2009,Drama
Deuce Bigalow: European Gigolo,22000000,484000000000000,22400154,83.0,4.7,2005,Comedy
Delivery Man,26000000,676000000000000,51164106,105.0,6.2,2013,Comedy
Saving Silverman,22000000,484000000000000,19351569,90.0,5.4,2001,Comedy
Diary of a Wimpy Kid: Dog Days,22000000,484000000000000,77112176,94.0,6.0,2012,Comedy
Jay and Silent Bob Strike Back,22000000,484000000000000,33788161,104.0,6.4,2001,Comedy
The Glass House,30000000,900000000000000,23619609,106.0,5.4,2001,Drama
"Hail, Caesar!",22000000,484000000000000,63647656,106.0,5.7,2016,Comedy
Homefront,22000000,484000000000000,43058898,100.0,6.4,2013,Action
The Little Vampire,22000000,484000000000000,13555988,95.0,6.1,2000,Family
RoboCop 3,22000000,484000000000000,10696210,104.0,4.2,1993,Action
The Transporter Refueled,25000000,625000000000000,72629670,96.0,5.2,2015,Thriller
Black Book,21000000,441000000000000,26193068,145.0,7.2,2006,Drama
Joyeux Noël,22000000,484000000000000,17709155,116.0,7.2,2005,Romance
Hit & Run,2000000,4000000000000,14400000,100.0,5.5,2012,Action
Before I Go to Sleep,22000000,484000000000000,15447154,92.0,6.2,2014,Mystery
Sorcerer,22000000,484000000000000,12000000,121.0,7.4,1977,Action
Stone,22000000,484000000000000,9479718,105.0,5.2,2010,Drama
Out of the Furnace,22000000,484000000000000,15400000,116.0,6.5,2013,Thriller
Michael Clayton,25000000,625000000000000,92991835,119.0,6.5,2007,Drama
Underdogs,22000000,484000000000000,24000000,106.0,6.0,2013,Animation
To Rome with Love,17000000,289000000000000,73244881,111.0,5.6,2012,Romance
Firefox,18000000,324000000000000,70687344,136.0,5.5,1982,Science Fiction
Death at a Funeral,9000000,81000000000000,46,90.0,6.9,2007,Comedy
Teenage Mutant Ninja Turtles III,21000000,441000000000000,42000000,96.0,5.1,1993,Action
Hardball,32000000,1024000000000000,40222729,106.0,6.3,2001,Comedy
Silver Linings Playbook,21000000,441000000000000,205738714,122.0,6.9,2012,Drama
Freedom Writers,21000000,441000000000000,41170784,123.0,7.5,2007,Crime
The Transporter,21000000,441000000000000,43928932,92.0,6.6,2002,Action
Never Back Down,20000000,400000000000000,41627431,115.0,6.4,2008,Drama
The Rage: Carrie 2,21000000,441000000000000,17762705,104.0,5.1,1999,Horror
Away We Go,17000000,289000000000000,14899417,98.0,6.7,2009,Drama
Swing Vote,21000000,441000000000000,17600000,120.0,5.8,2008,Drama
Moonlight Mile,21000000,441000000000000,10011050,117.0,6.5,2002,Romance
The Beaver,21000000,441000000000000,970816,91.0,6.3,2011,Drama
The Best Little Whorehouse in Texas,35000000,1225000000000000,69701637,114.0,5.9,1982,Comedy
eXistenZ,15000000,225000000000000,2856712,97.0,6.7,1999,Action
Raiders of the Lost Ark,18000000,324000000000000,389925971,115.0,7.7,1981,Adventure
Home Alone 2: Lost in New York,18000000,324000000000000,358991681,120.0,6.3,1992,Comedy
Close Encounters of the Third Kind,20000000,400000000000000,303788635,135.0,7.2,1977,Science Fiction
Pulse,38000000,1444000000000000,29907685,90.0,5.0,2006,Horror
Beverly Hills Cop II,20000000,400000000000000,299965036,100.0,6.1,1987,Action
Bringing Down the House,20000000,400000000000000,132675402,105.0,5.4,2003,Comedy
The Silence of the Lambs,19000000,361000000000000,272742922,119.0,8.1,1991,Crime
Wayne's World,20000000,400000000000000,121697323,94.0,6.5,1992,Music
Jackass 3D,20000000,400000000000000,117224271,94.0,6.4,2010,Comedy
Jaws 2,20000000,400000000000000,187884007,116.0,5.9,1978,Horror
Beverly Hills Chihuahua,20000000,400000000000000,149281606,91.0,4.9,2008,Adventure
The Conjuring,13000000,169000000000000,318000141,112.0,7.4,2013,Horror
Are We There Yet?,32000000,1024000000000000,97918663,95.0,5.2,2005,Adventure
Tammy,20000000,400000000000000,100525432,97.0,5.0,2014,Comedy
School of Rock,35000000,1225000000000000,131282949,108.0,6.7,2003,Comedy
Mortal Kombat,18000000,324000000000000,122195920,101.0,5.4,1995,Action
White Chicks,37000000,1369000000000000,113086475,109.0,6.3,2004,Comedy
The Descendants,20000000,400000000000000,177243185,115.0,6.7,2011,Comedy
12 Years a Slave,20000000,400000000000000,187000000,134.0,7.9,2013,Drama
Drumline,20000000,400000000000000,57588485,118.0,6.2,2002,Drama
Why Did I Get Married Too?,20000000,400000000000000,60072596,121.0,6.1,2010,Comedy
Edward Scissorhands,20000000,400000000000000,53000000,105.0,7.5,1990,Fantasy
Me Before You,20000000,400000000000000,207945075,110.0,7.6,2016,Drama
The French Connection,1800000,3240000000000,41158757,104.0,7.4,1971,Action
Bad Moms,20000000,400000000000000,183936074,100.0,6.3,2016,Comedy
Date Movie,20000000,400000000000000,48548426,83.0,3.6,2006,Comedy
Return to Never Land,20000000,400000000000000,109862682,72.0,6.1,2002,Adventure
Selma,20000000,400000000000000,66787908,127.0,7.4,2014,History
The Jungle Book 2,20000000,400000000000000,135680000,72.0,5.6,2003,Family
Boogeyman,20000000,400000000000000,67192859,89.0,4.6,2005,Thriller
Premonition,20000000,400000000000000,84146832,96.0,5.8,2007,Thriller
The Tigger Movie,30000000,900000000000000,45554533,77.0,6.3,2000,Animation
Orphan,20000000,400000000000000,41596251,123.0,6.7,2009,Horror
Max,20000000,400000000000000,43967255,111.0,6.8,2015,Adventure
Epic Movie,20000000,400000000000000,86865564,86.0,3.2,2007,Action
Spotlight,20000000,400000000000000,88346473,128.0,7.8,2015,Drama
Lakeview Terrace,20000000,400000000000000,27640028,110.0,5.9,2008,Drama
The Grudge 2,20000000,400000000000000,39143839,102.0,5.2,2006,Horror
How Stella Got Her Groove Back,20000000,400000000000000,37672350,124.0,6.0,1998,Comedy
Man of the Year,20000000,400000000000000,41237648,115.0,5.8,2006,Comedy
The Black Hole,20000000,400000000000000,35841901,98.0,6.1,1979,Adventure
The American,20000000,400000000000000,65464324,104.0,5.8,2010,Crime
Selena,20000000,400000000000000,60000000,127.0,7.0,1997,Drama
Vampires Suck,20000000,400000000000000,80547866,82.0,4.2,2010,Horror
Babel,25000000,625000000000000,135330182,143.0,6.9,2006,Drama
This Is Where I Leave You,19800000,392040000000000,41296320,103.0,6.5,2014,Drama
Doubt,20000000,400000000000000,50907234,104.0,7.0,2008,Drama
Team America: World Police,32000000,1024000000000000,50907422,98.0,6.6,2004,Music
Texas Chainsaw 3D,20000000,400000000000000,47241945,92.0,5.3,2013,Horror
Scary Movie 5,20000000,400000000000000,78378744,86.0,4.6,2013,Comedy
Paint Your Wagon,20000000,400000000000000,31678778,158.0,6.2,1969,Drama
Milk,20000000,400000000000000,54586584,128.0,7.1,2008,History
Risen,20000000,400000000000000,46069568,107.0,5.7,2016,Action
Ghost Ship,35000000,1225000000000000,68349884,91.0,5.3,2002,Horror
A Very Harold & Kumar Christmas,19000000,361000000000000,35387212,108.0,6.0,2011,Comedy
Wild Things,20000000,400000000000000,67200000,108.0,6.3,1998,Crime
The Debt,20000000,400000000000000,45636368,113.0,6.3,2010,Drama
High Fidelity,30000000,900000000000000,47126295,113.0,7.0,2000,Comedy
The Bank Job,20000000,400000000000000,64822796,112.0,6.6,2008,Thriller
Eternal Sunshine of the Spotless Mind,20000000,400000000000000,72258126,108.0,7.9,2004,Science Fiction
You Again,20000000,400000000000000,32005248,105.0,6.0,2010,Comedy
Street Kings,20000000,400000000000000,65569869,109.0,6.3,2008,Action
The World's End,20000000,400000000000000,46089287,109.0,6.7,2013,Comedy
Daybreakers,20000000,400000000000000,51416464,98.0,6.0,2009,Fantasy
She's Out of My League,20000000,400000000000000,49779728,104.0,5.9,2010,Comedy
Monte Carlo,20000000,400000000000000,17425000,109.0,6.0,2011,Adventure
Stay Alive,9000000,81000000000000,27105095,100.0,5.3,2006,Horror
Alpha and Omega,20000000,400000000000000,39300000,88.0,5.3,2010,Family
The Covenant,20000000,400000000000000,37597471,97.0,5.2,2006,Action
Shorts,40000000,1600000000000000,28972508,89.0,5.1,2009,Comedy
To Die For,20000000,400000000000000,21284514,106.0,6.7,1995,Fantasy
Nerve,20000000,400000000000000,83707310,96.0,7.1,2016,Mystery
Appaloosa,20000000,400000000000000,20211394,115.0,6.3,2008,Drama
Psycho,806948,651165074704,32000000,109.0,8.2,1960,Drama
My Best Friend's Girl,20000000,400000000000000,36620508,101.0,5.4,2008,Romance
Endless Love,20000000,400000000000000,34077920,103.0,6.7,2014,Drama
Under the Rainbow,20000000,400000000000000,2297493,98.0,4.9,1981,Comedy
Ladyhawke,20000000,400000000000000,18432000,121.0,6.8,1985,Adventure
Simon Birch,20000000,400000000000000,18253415,114.0,6.5,1998,Comedy
Reign Over Me,20000000,400000000000000,22222308,124.0,7.1,2007,Drama
Into the Wild,15000000,225000000000000,56255142,148.0,7.8,2007,Adventure
School for Scoundrels,20000000,400000000000000,17807569,100.0,5.6,2006,Comedy
Silent Hill: Revelation 3D,20000000,400000000000000,52302796,94.0,5.0,2012,Thriller
From Dusk Till Dawn,19000000,361000000000000,25836616,108.0,6.9,1996,Horror
Kung Fu Hustle,20000000,400000000000000,100914445,99.0,7.2,2004,Action
The Kite Runner,20000000,400000000000000,73276047,128.0,7.3,2007,Drama
21 Grams,20000000,400000000000000,60427839,124.0,7.2,2003,Drama
Paparazzi,20000000,400000000000000,16605763,84.0,5.8,2004,Action
A Guy Thing,20000000,400000000000000,17432163,101.0,5.3,2003,Comedy
Capitalism: A Love Story,20000000,400000000000000,17436509,120.0,7.0,2009,Documentary
The Greatest Story Ever Told,20000000,400000000000000,15473333,199.0,6.5,1965,Drama
Secret in Their Eyes,19500000,380250000000000,34854990,111.0,6.2,2015,Crime
Disaster Movie,25000000,625000000000000,14109284,87.0,3.0,2008,Action
Armored,20000000,400000000000000,22942221,88.0,5.5,2009,Action
The Man Who Knew Too Little,20000000,400000000000000,13801755,97.0,6.5,1997,Comedy
What's Your Number?,20000000,400000000000000,30426096,106.0,6.2,2011,Comedy
Lockout,20000000,400000000000000,32204030,95.0,5.8,2012,Action
Crank: High Voltage,20000000,400000000000000,34560577,96.0,5.9,2009,Action
One Night with the King,20000000,400000000000000,13391174,123.0,6.1,2006,Drama
The Quiet American,30000000,900000000000000,27674124,101.0,6.4,2002,Drama
The Weather Man,20000000,400000000000000,12482775,101.0,6.0,2005,Comedy
Undisputed,20000000,400000000000000,12398628,96.0,6.1,2002,Action
12 Rounds,20000000,400000000000000,17280326,108.0,5.7,2009,Action
Let Me In,20000000,400000000000000,24145613,116.0,6.7,2010,Drama
Triple 9,20000000,400000000000000,12639297,115.0,5.6,2016,Action
Deconstructing Harry,20000000,400000000000000,10686841,96.0,7.3,1997,Comedy
Burnt,20000000,400000000000000,36606743,100.0,6.3,2015,Drama
Death Sentence,20000000,400000000000000,16974459,105.0,6.5,2007,Action
Code Name: The Cleaner,20000000,400000000000000,10337477,84.0,4.7,2007,Action
Connie and Carla,20000000,400000000000000,11341016,98.0,6.4,2004,Comedy
Sweet Charity,8000000,64000000000000,20000000,149.0,6.5,1969,Comedy
Inherent Vice,20000000,400000000000000,11110975,148.0,6.5,2014,Comedy
Battle of the Year,20000000,400000000000000,16549477,110.0,5.9,2013,Music
An American Carol,20000000,400000000000000,7000000,83.0,4.1,2008,Comedy
Machete Kills,12000000,144000000000000,15008161,107.0,5.3,2013,Action
Little Boy,20000000,400000000000000,6420319,106.0,7.0,2015,Comedy
A Dangerous Method,15000000,225000000000000,27462041,99.0,6.2,2011,Drama
A Scanner Darkly,8700000,75690000000000,7659918,100.0,6.8,2006,Animation
Alone in the Dark,20000000,400000000000000,10442808,96.0,3.1,2005,Action
Bandslam,20000000,400000000000000,5210988,111.0,5.4,2009,Comedy
A Most Violent Year,20000000,400000000000000,12007070,125.0,6.5,2014,Crime
I'm Not There.,20000000,400000000000000,4001121,135.0,6.6,2007,Drama
The Cold Light of Day,20000000,400000000000000,16863583,93.0,4.8,2012,Action
The Brothers Bloom,20000000,400000000000000,5530764,114.0,6.8,2008,Adventure
Princess Mononoke,26500000,702250000000000,159375308,134.0,8.2,1997,Adventure
